2481	1276
2482	1277
2483	16492
2483	241947
2483	516639
2484	42849
2484	66989
2484	392210
2484	413821
2484	464592
2485	1280
2486	355041
2487	1282
2488	1283
2489	1284
2489	52115
2489	253976
2489	593670
2491	1286
2491	1312015
2492	1287
2493	1288
2493	693485
2494	1289
2495	1290
2496	1291
2497	1292
2499	328580
2500	1294
2501	328883
2502	328920
2503	24801
2503	693597
2503	1872366
2504	1298
2505	1299
2505	1009351
2506	1300
2507	1301
2508	1302
2509	1303
2510	1304
2511	1305
2512	1306
2513	20391
2513	433745
2513	506446
2515	1309
2516	1310
2517	1311
2519	1313
2520	1314
2521	1315
2522	1316
2523	1317
2524	1318
2525	1319
2526	1320
2526	350134
2527	1321
2528	1322
2529	1323
2530	1324
2530	1188355
2531	1325
2532	1326
2533	1327
2534	1328
2535	1329
2536	1330
2537	413822
2538	1332
2539	1333
2539	1535863
2540	1334
2541	1335
2542	1336
2543	1337
2544	1338
2545	1339
2545	1023661
2546	1340
2546	53035
2547	1341
2548	1342
2549	1343
2550	1344
2551	1345
2552	1346
2553	1347
2554	1348
2555	1349
2556	1350
2557	1351
2558	1352
2559	1353
2560	1354
2561	1355
2562	1356
2562	350137
2563	1357
2564	1358
2565	1359
2566	1360
2567	1361
2568	1362
2569	1363
2570	1364
2571	1365
2572	1366
2573	1367
2574	1368
2575	1369
2576	1370
2577	1371
2578	1372
2579	1373
2580	1374
2581	1375
2582	1376
2583	1377
2584	1378
2585	1379
2586	1380
2586	2740120
2587	1381
2588	1382
2589	1383
2590	1384
2590	599702
2591	1385
2591	2322
2592	1386
2593	1387
2594	1388
2595	1389
2596	1390
2597	1391
2598	1392
2599	1393
2600	1394
2601	1395
2602	1396
2603	1397
2604	1398
2604	350141
2605	1399
2606	1400
2607	1401
2607	1277691
2608	1402
2608	1855175
2609	1403
2610	1404
2611	375822
2611	1649962
2612	1407
2613	1408
2614	1409
2615	1410
2616	1411
2617	1412
2618	1413
2619	1414
2620	1415
2620	1193966
2621	1416
2622	1417
2623	1418
2624	1419
2625	1420
2626	1421
2626	599172
2627	1422
2628	1423
2629	1424
2630	1425
2631	1426
2632	1427
2633	1428
2634	1429
2635	1430
2636	1431
2637	1432
2638	1433
2639	1434
2640	556796
2641	1436
2641	1396179
2642	1437
2643	1438
2643	1215988
2644	1439
2645	1440
2646	3257
2647	1442
2648	1443
2649	1444
2650	1445
2651	1446
2652	1447
2652	697769
2653	1448
2654	1449
2655	1450
2656	1451
2657	1452
2658	1453
2659	1454
2660	1455
2661	1456
2663	1458
2664	1459
2665	1460
2666	1461
2666	1864722
2667	1462
2668	1463
2669	1464
2670	1465
2671	1466
2672	1468
2673	1469
2674	1470
2675	1471
2676	1472
2677	1473
2678	1474
2679	1475
2680	1477
2681	1478
2682	1479
2683	1480
2684	1481
2685	1482
2686	1483
2687	1484
2688	1485
2689	1486
2690	1487
2691	1488
2692	1489
2693	1490
2694	1491
2695	1492
2696	1493
2697	1494
2698	1495
2699	1496
2700	1497
2701	1498
2702	328585
2703	1500
2704	1501
2704	2175
2705	1504
2705	25196
2705	64760
2706	1505
2707	1506
2708	1507
2709	1508
2709	1079129
2710	73986
2711	1511
2712	1512
2713	1513
2714	1514
2715	1516
2716	1518
2717	1519
2718	1520
2719	1521
2720	1522
2720	512945
2721	1524
2721	1396342
2722	753344
2723	1526
2723	1396362
2724	1527
2725	1529
2726	1530
2726	607736
2727	1531
2728	1535
2730	1538
2730	731366
2731	1539
2731	1077708
2732	1540
2733	1541
2734	1542
2735	1543
2736	1544
2737	72637
2738	73242
2738	622183
2739	1547
2739	915346
2741	1549
2742	1551
2743	1552
2744	1553
2745	1554
2746	1555
2747	505774
2748	1557
2748	2218081
2749	2487896
2749	2487899
2750	1559
2751	1560
2752	1561
2754	1563
2755	1564
2755	322178
2755	534970
2756	1565
2757	1566
2757	54925
2758	1567
2759	1568
2760	1569
2761	1570
2762	1571
2763	1572
2764	1573
2765	1574
2766	1575
2768	1577
2768	51870
2769	1578
2770	1579
2771	1580
2772	1581
2773	1582
2774	1583
2775	1584
2776	1585
2777	1586
2778	1590
2779	1591
2780	1592
2781	1594
2781	437979
2782	1597
2783	1598
2784	1600
2785	1602
2786	1604
